gene,strand,chr,gStart,gEnd
ALDH6A1,-,chr14,74523553,74551196
ALDH7A1,-,chr5,125877533,125931110
ALDH7A1P1,+,chr5,76586093,76587625
ALDH7A1P2,-,chr2,173758491,173759111
ALDH7A1P3,-,chr7,150238842,150239186
ALDH7A1P4,-,chr10,64500968,64501145
ALDH8A1,-,chr6,135238528,135271260
ALDH9A1,-,chr1,165631453,165668100
ALDOA,+,chr16,30064411,30081778
ALDOAP1,+,chr3,52227186,52228801
ALDOAP2,-,chr10,127355444,127356519
ALDOB,-,chr9,104182860,104198105
ALDOC,-,chr17,26900133,26904282
ALG1,+,chr16,5083703,5137380
ALG10,+,chr12,34175216,34182629
ALG10B,+,chr12,38710380,38717784
ALG11,+,chr13,52586534,52603800
ALG12,-,chr22,50293877,50312106
ALG13,+,chrX,110909043,111003877
ALG13-AS1,-,chrX,110949877,110954329
ALG14,-,chr1,95439963,95538501
ALG1L,-,chr3,125648118,125655882
ALG1L10P,+,chr12,8380330,8384360
ALG1L11P,+,chr8,12036206,12040228
ALG1L12P,+,chr8,12278541,12282509
ALG1L13P,-,chr8,8093525,8102189
ALG1L14P,-,chr4,9168023,9171996
ALG1L15P,-,chr3,155761944,155762737
ALG1L2,+,chr3,129800674,129832070
ALG1L3P,-,chr4,9705374,9712436
ALG1L5P,+,chr7,6963435,6970466
ALG1L6P,+,chr3,75464221,75471294
ALG1L7P,+,chr4,3937174,3944248
ALG1L8P,+,chr11,67552744,67559806
ALG1L9P,-,chr11,71511587,71515686
ALG2,-,chr9,101978708,101984238
ALG3,-,chr3,183960089,183967336
ALG3P1,-,chr5,5375836,5376949
ALG5,-,chr13,37523912,37574398
ALG6,+,chr1,63833261,63904233
ALG8,-,chr11,77811982,77850706
ALG9,-,chr11,111652919,111742305
ALG9-IT1,-,chr11,111687938,111699936
ALK,-,chr2,29415640,30144432
ALKBH1,-,chr14,78138747,78174363
ALKBH2,-,chr12,109525996,109531436
ALKBH3,+,chr11,43902361,43941816
ALKBH3-AS1,-,chr11,43930842,43942494
ALKBH4,-,chr7,102096685,102105323
ALKBH5,+,chr17,18086392,18113268
ALKBH6,-,chr19,36500022,36505141
ALKBH7,+,chr19,6372444,6375042
ALKBH8,-,chr11,107373452,107436472
ALLC,+,chr2,3705785,3750261
ALMS1,+,chr2,73612886,73837920
ALMS1-IT1,+,chr2,73683891,73686611
ALMS1P,+,chr2,73872046,73912703
ALOX12,+,chr17,6899384,6914055
ALOX12B,-,chr17,7975954,7991021
ALOX12P1,+,chr17,28856706,28869434
ALOX12P2,+,chr17,6757180,6857426
ALOX15,-,chr17,4534197,4545589
ALOX15B,+,chr17,7942335,7952452
ALOX15P2,+,chr9,95675438,95683842
ALOX5,+,chr10,45869661,45941561
ALOX5AP,+,chr13,31309645,31338556
ALOXE3,-,chr17,7999218,8022365
ALPI,+,chr2,233320833,233324742
ALPK1,+,chr4,113206665,113363776
ALPK2,-,chr18,56148479,56296189
ALPK3,+,chr15,85359911,85416713
ALPL,+,chr1,21835858,21904905
ALPP,+,chr2,233243244,233247599
ALPPL2,+,chr2,233271553,233275424
ALS2,-,chr2,202565277,202645912
ALS2CL,-,chr3,46710487,46735194
ALS2CR11,-,chr2,202352148,202483901
ALS2CR12,-,chr2,202152994,202222121
ALX1,+,chr12,85673885,85695562
ALX3,-,chr1,110602616,110613322
ALX4,-,chr11,44281994,44331716
ALYREF,-,chr17,79845713,79849462
AMACR,-,chr5,33986283,34008220
AMBN,+,chr4,71457973,71473005
AMBP,-,chr9,116822407,116840752
AMBRA1,-,chr11,46417964,46615675
AMD1,+,chr6,111195973,111216916
AMD1P1,+,chr10,20638978,20640029
AMDHD1,+,chr12,96337071,96362370
AMDHD2,+,chr16,2570358,2581423
AMDP1,-,chrX,155058248,155059239
AMELX,+,chrX,11311533,11318881
AMELY,-,chrY,6733959,6742068
AMER1,-,chrX,63404997,63425624
AMER2,-,chr13,25735822,25746426
AMER2-AS1,-,chr13,25746966,25754217
AMER3,+,chr2,131513008,131525707
AMFR,-,chr16,56395364,56459450
AMH,+,chr19,2249308,2252072
AMHR2,+,chr12,53817639,53825318
AMICA1,-,chr11,118064455,118095809
AMIGO1,-,chr1,110046797,110052360
AMIGO2,-,chr12,47469490,47473734
AMIGO3,-,chr3,49754267,49761349
AMMECR1,-,chrX,109437414,109683461
AMMECR1-IT1,-,chrX,109548648,109550449
AMMECR1L,-,chr2,128619204,128643496
AMMECR1LP1,+,chr13,97225913,97226753
AMN,+,chr14,103388993,103399933
AMN1,-,chr12,31824071,31882108
AMOT,-,chrX,112017731,112084043
AMOTL1,+,chr11,94439597,94609918
AMOTL2,-,chr3,134074716,134094321
AMPD1,-,chr1,115215719,115238239
AMPD2,+,chr1,110158726,110174673
AMPD3,+,chr11,10329860,10529126
AMPH,-,chr7,38423305,38671167
AMT,-,chr3,49454211,49460186
AMTN,+,chr4,71384257,71398459
AMY1A,+,chr1,104197912,104207173
AMY1B,-,chr1,104230037,104239302
AMY1C,+,chr1,104293028,104301312
AMY2A,+,chr1,104159999,104168402
AMY2B,+,chr1,104096437,104122156
AMYP1,+,chr1,104256345,104262493
AMZ1,+,chr7,2719156,2815134
AMZ2,+,chr17,66243715,66253297
AMZ2P1,-,chr17,62962668,62971694
AMZ2P2,-,chr6,159146779,159147835
ANAPC1,-,chr2,112523848,112642267
ANAPC10,-,chr4,145888264,146019693
ANAPC10P1,+,chr1,52719293,52719848
ANAPC11,+,chr17,79848666,79858867
ANAPC13,-,chr3,134196548,134205558
ANAPC15,-,chr11,71817424,71823826
ANAPC16,+,chr10,73975787,73995618
ANAPC1P1,+,chr2,87098424,87149816
ANAPC2,-,chr9,140069236,140082989
ANAPC4,+,chr4,25378835,25420120
ANAPC5,-,chr12,121746048,121837699
ANAPC7,-,chr12,110810705,110841535
ANG,+,chr14,21152336,21167130
ANGEL1,-,chr14,77253588,77292589
ANGEL2,-,chr1,213165524,213189168
ANGPT1,-,chr8,108261721,108510283
ANGPT2,-,chr8,6357172,6420930
ANGPT4,-,chr20,853296,896977
ANGPTL1,-,chr1,178818840,178840187
ANGPTL2,-,chr9,129849611,129885162
ANGPTL3,+,chr1,63063158,63071830
ANGPTL4,+,chr19,8428173,8439257
ANGPTL5,-,chr11,101761405,101787253
ANGPTL6,-,chr19,10203014,10213472
ANGPTL7,+,chr1,11249398,11256038
ANHX,-,chr12,133794898,133812681
ANK1,-,chr8,41510739,41754280
ANK2,+,chr4,113739265,114304896
ANK3,-,chr10,61786056,62493248
ANKAR,+,chr2,190539016,190625919
ANKDD1A,+,chr15,65204101,65251042
ANKDD1B,+,chr5,74907284,74967671
ANKEF1,+,chr20,9966774,10037410
ANKFN1,+,chr17,54188319,54589020
ANKFY1,-,chr17,4067201,4167274
ANKH,-,chr5,14704910,14871887
ANKHD1,+,chr5,139781399,139929163
ANKHD1-EIF4EBP3,+,chr5,139781493,139929154
ANKIB1,+,chr7,91875548,92030698
ANKK1,+,chr11,113258513,113271140
ANKLE1,+,chr19,17392454,17398455
ANKLE2,-,chr12,133302254,133338474
ANKMY1,-,chr2,241418839,241508626
ANKMY2,-,chr7,16639401,16685442
ANKRA2,-,chr5,72848160,72861511
ANKRD1,-,chr10,92671853,92681033
ANKRD10,-,chr13,111530887,111567416
ANKRD10-IT1,-,chr13,111547406,111551519
ANKRD11,-,chr16,89334038,89556969
ANKRD12,+,chr18,9136226,9285983
ANKRD13A,+,chr12,110436991,110477568
ANKRD13B,+,chr17,27916787,27941779
ANKRD13C,-,chr1,70726271,70820417
ANKRD13D,+,chr11,67056018,67069956
ANKRD16,-,chr10,5903580,5931869
ANKRD17,-,chr4,73939093,74124515
ANKRD18A,-,chr9,38540566,38620657
ANKRD18B,+,chr9,33524392,33573007
ANKRD18CP,-,chr9,99918852,99983517
ANKRD18DP,-,chr3,197780393,197807591
ANKRD18EP,+,chr6,39078097,39080728
ANKRD19P,+,chr9,95571670,95650975
ANKRD2,+,chr10,99332198,99343641
ANKRD20A1,+,chr9,67926761,67969840
ANKRD20A10P,-,chr13,25324795,25326309
ANKRD20A11P,-,chr21,15281895,15352758
ANKRD20A12P,-,chr1,142697653,142729971
ANKRD20A14P,+,chr1,142803532,142827235
ANKRD20A17P,-,chr4,49504162,49508039
ANKRD20A18P,+,chr21,15436646,15441408
ANKRD20A19P,-,chr13,24513696,24520921
ANKRD20A2,+,chr9,42368303,42411410
ANKRD20A3,-,chr9,43064966,43133544
ANKRD20A4,+,chr9,69381812,69425560
ANKRD20A5P,+,chr18,14179096,14249455
ANKRD20A7P,-,chr9,44076368,44118444
ANKRD20A8P,-,chr2,95476791,95523027
ANKRD20A9P,-,chr13,19390858,19446107
ANKRD22,-,chr10,90581889,90611575
ANKRD23,-,chr2,97490263,97523671
ANKRD24,+,chr19,4183351,4224811
ANKRD26,-,chr10,27280843,27389421
ANKRD26P1,-,chr16,46503253,46603009
ANKRD26P2,-,chr13,39496864,39510336
ANKRD26P3,-,chr13,19864733,19918965
ANKRD26P4,+,chr13,31885426,31887058
ANKRD27,-,chr19,33087913,33167503
ANKRD28,-,chr3,15708743,15901278
ANKRD29,-,chr18,21178890,21242849
ANKRD30A,+,chr10,37414785,37673039
ANKRD30B,+,chr18,14728271,14852737
ANKRD30BL,-,chr2,132905164,133015542
ANKRD30BP1,-,chr21,14756570,14800094
ANKRD30BP2,+,chr21,14410481,14439354
ANKRD30BP3,+,chr10,45652223,45672373
ANKRD31,-,chr5,74364100,74532703
ANKRD32,+,chr5,93954052,94075141
ANKRD33,+,chr12,52281744,52285448
ANKRD33B,+,chr5,10564442,10650308
ANKRD33B-AS1,-,chr5,10627372,10628337
ANKRD34A,+,chr1,145470508,145475646
ANKRD34B,-,chr5,79852574,79866307
ANKRD34C,+,chr15,79575146,79590580
ANKRD35,+,chr1,145549230,145568526
ANKRD36,+,chr2,97779233,97930258
ANKRD36B,-,chr2,98108978,98206428
ANKRD36BP1,-,chr1,168214803,168216581
ANKRD36BP2,+,chr2,89065324,89106126
ANKRD36C,-,chr2,96514587,96657541
ANKRD36P1,+,chrY,28555962,28566682
ANKRD37,+,chr4,186317175,186321782
ANKRD39,-,chr2,97502348,97523832
ANKRD40,-,chr17,48770551,48785285
ANKRD42,+,chr11,82904781,82971736
ANKRD44,-,chr2,197831741,198175897
ANKRD44-IT1,-,chr2,198115582,198167243
ANKRD45,-,chr1,173578700,173639001
ANKRD46,-,chr8,101521980,101572012
ANKRD49,+,chr11,94226795,94232749
ANKRD50,-,chr4,125585207,125633887
ANKRD52,-,chr12,56631591,56652175
ANKRD53,+,chr2,71205510,71212626
ANKRD54,-,chr22,38226862,38245334
ANKRD54P1,-,chr10,45646893,45647363
ANKRD55,-,chr5,55395507,55529186
ANKRD6,+,chr6,90142889,90343553
ANKRD60,-,chr20,56793551,56803709
ANKRD61,+,chr7,6071007,6076017
ANKRD62,+,chr18,12093852,12129748
ANKRD62P1,-,chr22,17151980,17160383
ANKRD62P1-PARP4P3,-,chr22,17134956,17160374
ANKRD63,-,chr15,40573645,40574787
ANKRD65,-,chr1,1353800,1357149
ANKRD66,+,chr6,46714654,46727243
ANKRD7,+,chr7,117854727,117882785
ANKRD9,-,chr14,102973179,102976136
ANKS1A,+,chr6,34857042,35059179
ANKS1B,-,chr12,99120235,100378432
ANKS3,-,chr16,4746513,4784379
ANKS4B,+,chr16,21244986,21263750
ANKS6,-,chr9,101493611,101559247
ANKUB1,-,chr3,149478892,149686172
ANKZF1,+,chr2,220094479,220101391
ANLN,+,chr7,36429415,36493400
ANO1,+,chr11,69924408,70035634
ANO1-AS1,-,chr11,70033894,70034615
ANO1-AS2,-,chr11,69918540,69921539
ANO10,-,chr3,43396351,43733086
ANO2,-,chr12,5641035,6055398
ANO3,+,chr11,26210829,26684835
ANO4,+,chr12,101111304,101522419
ANO5,+,chr11,22214722,22304903
ANO6,+,chr12,45609770,45834187
ANO7,+,chr2,242127924,242164792
ANO7P1,-,chr1,16542404,16554522
ANO8,-,chr19,17434032,17445638
ANO9,-,chr11,417933,442011
ANP32A,-,chr15,69070874,69113236
ANP32AP1,+,chr15,35474000,35530398
ANP32B,+,chr9,100745643,100778225
ANP32BP1,-,chr15,75613738,75615034
ANP32BP2,+,chr22,45047715,45048259
ANP32BP3,-,chr15,81409976,81410681
ANP32C,-,chr4,165118159,165118863
ANP32D,+,chr12,48866448,48866843
ANP32E,-,chr1,150190717,150208504
ANPEP,-,chr15,90328120,90358633
ANTXR1,+,chr2,69240310,69476459
ANTXR2,-,chr4,80822303,81046608
ANTXRL,+,chr10,47657581,47701443
ANTXRLP1,-,chr10,47605211,47644793
ANXA1,+,chr9,75766673,75785309
ANXA10,+,chr4,169013666,169108841
ANXA11,-,chr10,81910645,81965328
ANXA13,-,chr8,124693034,124749647
ANXA2,-,chr15,60639333,60695082
ANXA2P1,-,chr4,154228944,154229869
ANXA2P2,+,chr9,33624223,33625532
ANXA2P3,+,chr10,66585329,66586336
ANXA2R,-,chr5,43039335,43043272
ANXA3,+,chr4,79472673,79531597
ANXA4,+,chr2,69871557,70053596
ANXA5,-,chr4,122589110,122618268
ANXA6,-,chr5,150480273,150537443
ANXA7,-,chr10,75134859,75173834
ANXA8,+,chr10,48255253,48279200
ANXA8L1,-,chr10,47157983,47174093
ANXA8L2,+,chr10,47746936,47763041
ANXA9,+,chr1,150954493,150968110
AOAH,-,chr7,36552456,36764154
AOAH-IT1,-,chr7,36637440,36639726
AOC1,+,chr7,150521715,150558592
AOC2,+,chr17,40996617,41002724
AOC3,+,chr17,41003201,41010147
AOC4P,+,chr17,41017939,41026386
AOX1,+,chr2,201450591,201541787
AOX2P,+,chr2,201560640,201658962
AOX3P,+,chr2,201542956,201603504
AP1AR,+,chr4,113152893,113191203
AP1B1,-,chr22,29723669,29819168
AP1B1P1,+,chr22,32517964,32529456
AP1B1P2,+,chr22,32530015,32530120
AP1G1,-,chr16,71762913,71843104
AP1G2,-,chr14,24028774,24037279
AP1M1,+,chr19,16308389,16346160
AP1M2,-,chr19,10683347,10697991
AP1S1,+,chr7,100797678,100804877
AP1S2,-,chrX,15843929,15873054
AP1S3,-,chr2,224616403,224702744
AP2A1,+,chr19,50270225,50310370
AP2A2,+,chr11,924894,1012239
AP2B1,+,chr17,33905065,34053436
AP2M1,+,chr3,183892477,183901879
AP2S1,-,chr19,47341393,47354249
AP3B1,-,chr5,77296349,77590579
AP3B2,-,chr15,83328033,83378666
AP3D1,-,chr19,2100988,2164464
AP3M1,-,chr10,75881524,75910821
AP3M2,+,chr8,42010464,42029191
AP3S1,+,chr5,115177178,115249778
AP3S2,-,chr15,90373831,90437574
AP4B1,-,chr1,114437370,114447823
AP4B1-AS1,+,chr1,114399257,114443859
AP4E1,+,chr15,51200869,51298097
AP4M1,+,chr7,99699172,99707968
AP4S1,+,chr14,31494312,31562818
AP5B1,-,chr11,65543364,65548273
AP5M1,+,chr14,57735627,57756797
AP5S1,+,chr20,3801178,3805949
AP5Z1,+,chr7,4815253,4833943
APAF1,+,chr12,99038919,99129204
APBA1,-,chr9,72042446,72287222
APBA2,+,chr15,29129629,29410518
APBA3,-,chr19,3750817,3761697
APBB1,-,chr11,6416355,6440644
APBB1IP,+,chr10,26727132,26856732
APBB2,-,chr4,40812044,41218731
APBB3,-,chr5,139937853,139973337
APC,+,chr5,112043195,112181936
APC2,+,chr19,1446300,1473243
APCDD1,+,chr18,10454625,10489945
APCDD1L,-,chr20,57034157,57090187
APCDD1L-AS1,+,chr20,57090435,57194944
APCS,+,chr1,159557615,159558655
APEH,+,chr3,49711435,49721396
APEX1,+,chr14,20923350,20925927
APEX2,+,chrX,55026790,55035490
APH1A,-,chr1,150237804,150241980
APH1B,+,chr15,63568217,63601325
API5,+,chr11,43333513,43366079
API5P1,-,chrX,115238174,115239683
API5P2,-,chr2,178862000,178863497
APIP,-,chr11,34874641,34938046
APITD1,+,chr1,10490159,10512210
APITD1-CORT,+,chr1,10490159,10512210
APLF,+,chr2,68694693,68858004
APLN,-,chrX,128779240,128788933
APLNR,-,chr11,57001051,57004709
APLP1,+,chr19,36358801,36370693
APLP2,+,chr11,129939732,130014699
APMAP,-,chr20,24943561,24973615
APOA1,-,chr11,116706467,116708666
APOA1-AS,+,chr11,116706833,116726445
APOA1BP,+,chr1,156561554,156564091
APOA2,-,chr1,161192082,161193421
APOA4,-,chr11,116691419,116694022
APOA5,-,chr11,116660083,116663136
APOB,-,chr2,21224301,21266945
APOBEC1,-,chr12,7801996,7818499
APOBEC2,+,chr6,41021043,41032250
APOBEC3A,+,chr22,39348746,39359188
APOBEC3AP1,+,chr4,171020969,171021255
APOBEC3B,+,chr22,39378352,39388809
APOBEC3B-AS1,-,chr22,39387564,39394214
APOBEC3C,+,chr22,39410088,39416357
APOBEC3D,+,chr22,39410368,39429281
APOBEC3F,+,chr22,39436609,39449915
APOBEC3G,+,chr22,39436924,39483748
APOBEC3H,+,chr22,39493229,39500072
APOBEC4,-,chr1,183615541,183622451
APOBR,+,chr16,28505970,28510291
APOC1,+,chr19,45417504,45422606
APOC1P1,+,chr19,45430061,45434643
APOC2,+,chr19,45449243,45452822
APOC3,+,chr11,116700422,116703788
APOC4,+,chr19,45445495,45452820
APOC4-APOC2,+,chr19,45445495,45452822
APOD,-,chr3,195295573,195311076
APOE,+,chr19,45409011,45412650
APOF,-,chr12,56754353,56756607
APOH,-,chr17,64208151,64252643
APOL1,+,chr22,36649056,36663576
APOL2,-,chr22,36622256,36636000
APOL3,-,chr22,36536372,36562225
APOL4,-,chr22,36585172,36600886
APOL5,+,chr22,36113919,36125530
APOL6,+,chr22,36044442,36064456
APOLD1,+,chr12,12878851,12982909
APOM,+,chr6,31620193,31625987
APOO,-,chrX,23851470,23926057
APOOL,+,chrX,84258832,84343069
APOOP1,+,chr5,156351130,156351721
APOOP2,+,chr3,87643988,87644526
APOOP3,+,chr12,65528468,65529053
APOOP4,-,chr4,69170061,69170657
APOOP5,-,chr16,59788365,59788930
APOPT1,+,chr14,104029299,104073860
APP,-,chr21,27252861,27543446
APPBP2,-,chr17,58520520,58603580
APPL1,+,chr3,57261765,57307496
APPL2,-,chr12,105567074,105630016
APRT,-,chr16,88875747,88878352
APTX,-,chr9,32972604,33025166
AQP1,+,chr7,30893010,30965131
AQP10,+,chr1,154293566,154297801
AQP11,+,chr11,77300436,77321400
AQP12A,+,chr2,241631262,241637900
AQP12B,-,chr2,241615835,241622323
AQP2,+,chr12,50344524,50352664
AQP3,-,chr9,33441152,33447609
AQP4,-,chr18,24432002,24445782
AQP4-AS1,+,chr18,24235706,24770662
AQP5,+,chr12,50355653,50359464
AQP6,+,chr12,50360977,50370922
AQP7,-,chr9,33384765,33402643
AQP7P1,-,chr9,67272038,67289492
AQP7P2,-,chr9,69633978,69650004
AQP7P3,+,chr9,42858072,42876505
AQP7P4,+,chr9,67032331,67048373
AQP8,+,chr16,25227052,25240261
AQP9,+,chr15,58430368,58478110
AQR,-,chr15,35147732,35262040
AR,+,chrX,66764465,66950461
ARAF,+,chrX,47420516,47431307
ARAP1,-,chr11,72396114,72504644
ARAP1-AS1,+,chr11,72396120,72404853
ARAP1-AS2,+,chr11,72411519,72416652
ARAP2,-,chr4,35949843,36246131
ARAP3,-,chr5,141032968,141061788
ARC,-,chr8,143692405,143696833
ARCN1,+,chr11,118443105,118473748
AREG,+,chr4,75310851,75320726
AREGB,+,chr4,75480629,75490486
AREL1,-,chr14,75120140,75179818
ARF1,+,chr1,228270361,228286912
ARF1P1,+,chr7,94463216,94463759
ARF1P2,-,chr12,121282913,121283450
ARF1P3,+,chr8,125164164,125164674
ARF3,-,chr12,49329506,49351334
ARF4,-,chr3,57557090,57583947
ARF4P2,-,chr20,61503602,61504428
ARF4P3,-,chr13,101408805,101409313
ARF4P4,+,chr13,81462483,81463002
ARF5,+,chr7,127228399,127231759
ARF6,+,chr14,50359810,50361490
ARFGAP1,+,chr20,61904137,61921142
ARFGAP2,-,chr11,47185848,47198676
ARFGAP3,-,chr22,43192508,43254112
ARFGEF1,-,chr8,68085747,68255912
ARFGEF2,+,chr20,47538427,47653230
ARFIP1,+,chr4,153701089,153839615
ARFIP2,-,chr11,6496910,6502666
ARFRP1,-,chr20,62329996,62339377
ARG1,+,chr6,131894284,131905472
ARG2,+,chr14,68086515,68118437
ARGFX,+,chr3,121289551,121305481
ARGFXP1,+,chr5,122011490,122012450
ARGFXP2,-,chr17,30477452,30478523
ARGLU1,-,chr13,107194021,107220512
ARHGAP1,-,chr11,46698630,46722165
ARHGAP10,+,chr4,148653214,148993931
ARHGAP11A,+,chr15,32907345,32932150
ARHGAP11B,+,chr15,30916697,31065196
ARHGAP12,-,chr10,32094365,32217742
ARHGAP15,+,chr2,143848931,144525921
ARHGAP17,-,chr16,24930706,25026987
ARHGAP18,-,chr6,129897277,130031370
ARHGAP19,-,chr10,98978996,99052413
ARHGAP19-SLIT1,-,chr10,98757795,99052413
ARHGAP20,-,chr11,110447766,110583912
ARHGAP21,-,chr10,24872538,25012597
ARHGAP22,-,chr10,49654077,49864310
ARHGAP22-IT1,-,chr10,49718568,49719632
ARHGAP23,+,chr17,36584662,36668628
ARHGAP23P1,-,chr16,33709886,33739634
ARHGAP24,+,chr4,86396267,86923823
ARHGAP25,+,chr2,68906733,69053965
ARHGAP26,+,chr5,142149949,142608576
ARHGAP26-AS1,-,chr5,142239169,142248487
ARHGAP26-IT1,+,chr5,142572065,142573731
ARHGAP27,-,chr17,43471275,43511787
ARHGAP28,+,chr18,6729717,6915715
ARHGAP29,-,chr1,94614544,94740624
ARHGAP30,-,chr1,161016736,161039760
ARHGAP31,+,chr3,119013220,119139561
ARHGAP31-AS1,-,chr3,119033140,119041607
ARHGAP32,-,chr11,128834955,129149219
ARHGAP33,+,chr19,36265434,36279724
ARHGAP35,+,chr19,47421933,47508334
ARHGAP36,+,chrX,130192216,130223857
ARHGAP39,-,chr8,145754563,145911194
ARHGAP4,-,chrX,153172821,153200452
ARHGAP40,+,chr20,37230577,37279678
ARHGAP42,+,chr11,100558384,100862668
ARHGAP42P1,-,chr2,132085749,132088430
ARHGAP42P2,+,chr2,130763773,130766696
ARHGAP42P3,+,chr22,16424125,16427059
ARHGAP42P4,+,chr14,20156420,20159353
ARHGAP42P5,-,chr14,19400329,19403264
ARHGAP44,+,chr17,12692856,12894960
ARHGAP5,+,chr14,32545320,32628934
ARHGAP5-AS1,-,chr14,32544625,32545999
ARHGAP6,-,chrX,11136239,11683821
ARHGAP8,+,chr22,45098355,45258665
ARHGAP9,-,chr12,57866038,57882597
ARHGDIA,-,chr17,79825597,79829282
ARHGDIB,-,chr12,15094951,15114662
ARHGDIG,+,chr16,318726,333003
ARHGEF1,+,chr19,42387228,42434302
ARHGEF10,+,chr8,1772142,1906807
ARHGEF10L,+,chr1,17866330,18024369
ARHGEF11,-,chr1,156904632,157015162
ARHGEF12,+,chr11,120207787,120360645
ARHGEF15,+,chr17,8213559,8225829
ARHGEF16,+,chr1,3370990,3397677
ARHGEF17,+,chr11,73019334,73080136
ARHGEF18,+,chr19,7459999,7537363
ARHGEF19,-,chr1,16524349,16539104
ARHGEF19-AS1,+,chr1,16524349,16524852
ARHGEF2,-,chr1,155916630,155976861
ARHGEF25,+,chr12,58003963,58013162
ARHGEF26,+,chr3,153838792,153975616
ARHGEF26-AS1,-,chr3,153742190,153839121
ARHGEF28,+,chr5,72921983,73237818
ARHGEF3,-,chr3,56761446,57113357
ARHGEF3-AS1,+,chr3,56974068,56994882
ARHGEF33,+,chr2,39117021,39202590
ARHGEF34P,-,chr7,143969538,143991256
ARHGEF35,-,chr7,143883176,143991230
ARHGEF37,+,chr5,148931510,149014531
ARHGEF38,+,chr4,106473777,106629250
ARHGEF38-IT1,+,chr4,106482748,106491395
ARHGEF39,-,chr9,35658872,35675863
ARHGEF4,+,chr2,131594489,131804836
ARHGEF40,+,chr14,21538429,21558399
ARHGEF5,+,chr7,144052381,144077725
ARHGEF6,-,chrX,135747706,135864247
ARHGEF7,+,chr13,111766906,111958084
ARHGEF7-AS1,-,chr13,111796652,111797080
ARHGEF7-AS2,-,chr13,111766159,111768025
ARHGEF7-IT1,+,chr13,111774999,111796611
ARHGEF9,-,chrX,62854847,63005426
ARHGEF9-IT1,-,chrX,62890076,62891382
ARID1A,+,chr1,27022524,27108595
ARID1B,+,chr6,157099063,157531913
ARID2,+,chr12,46123448,46301823
ARID3A,+,chr19,925781,975939
ARID3B,+,chr15,74833518,74890472
ARID3C,-,chr9,34621376,34628104
ARID4A,+,chr14,58765103,58840605
ARID4B,-,chr1,235294949,235491534
ARID4B-IT1,-,chr1,235333435,235334206
ARID5A,+,chr2,97202480,97218375
ARID5B,+,chr10,63661059,63856703
ARIH1,+,chr15,72766667,72879692
ARIH2,+,chr3,48956254,49023815
ARIH2OS,-,chr3,48955221,48956818
ARIH2P1,+,chr18,26231696,26233172
ARL1,-,chr12,101786898,101801598
ARL10,+,chr5,175792471,175828866
ARL11,+,chr13,50202435,50208008
ARL13A,+,chrX,100224697,100245818
ARL13B,+,chr3,93698983,93774512
ARL14,+,chr3,160394948,160396233
ARL14EP,+,chr11,30344598,30359774
ARL14EPL,+,chr5,115387163,115395815
ARL15,-,chr5,53179775,53606412
ARL16,-,chr17,79648204,79650954
ARL17A,-,chr17,44594068,44657088
ARL17B,-,chr17,44352150,44439130
ARL2,+,chr11,64781585,64789656
ARL2BP,+,chr16,57279010,57287516
ARL2BPP1,-,chr18,74415400,74416210
ARL2BPP10,-,chr22,18585223,18586415
ARL2BPP2,+,chr12,53157189,53157677
ARL2BPP3,+,chr13,37363469,37369187
ARL2BPP4,+,chr5,129865112,129865582
ARL2BPP5,+,chr5,162188839,162189319
ARL2BPP6,+,chr5,174717734,174718255
ARL2BPP7,-,chr9,104817534,104818023
ARL2BPP8,-,chr17,52831526,52832010
ARL3,-,chr10,104433488,104474164
ARL4A,+,chr7,12726481,12730559
ARL4C,-,chr2,235401685,235405697
ARL4D,+,chr17,41476327,41478505
ARL4P,+,chr10,62444263,62444967
ARL5A,-,chr2,152645498,152685006
ARL5AP1,-,chrX,118320405,118320792
ARL5AP2,-,chr10,100772860,100773709
ARL5AP3,-,chr1,68515043,68515428
ARL5AP4,+,chr22,25082135,25082646
ARL5B,+,chr10,18948334,18970568
ARL5B-AS1,-,chr10,18940195,18948214
ARL5C,-,chr17,37313147,37323737
ARL6,+,chr3,97483365,97519953
ARL6IP1,-,chr16,18802991,18813000
ARL6IP1P1,-,chr14,22117944,22118553
ARL6IP1P2,+,chr10,37283951,37284513
ARL6IP1P3,-,chr11,80364473,80365032
ARL6IP4,+,chr12,123464607,123467456
ARL6IP5,+,chr3,69134095,69155217
ARL6IP6,+,chr2,153574407,153617767
ARL8A,-,chr1,202102532,202113869
ARL8B,+,chr3,5163905,5222596
ARL9,+,chr4,57371509,57390614
ARMC1,-,chr8,66514694,66546442
ARMC10,+,chr7,102715328,102740205
ARMC10P1,-,chr3,94225610,94226464
ARMC12,+,chr6,35704809,35716856
ARMC2,+,chr6,109169619,109295186
ARMC2-AS1,-,chr6,109244179,109245306
ARMC3,+,chr10,23216953,23326518
ARMC4,-,chr10,28064115,28287977
ARMC4P1,+,chr10,27547691,27577753
ARMC5,+,chr16,31469401,31478487
ARMC6,+,chr19,19144384,19170563
ARMC7,+,chr17,73106047,73126360
ARMC8,+,chr3,137906109,138017231
ARMC9,+,chr2,232063260,232239548
ARMCX1,+,chrX,100805514,100809683
ARMCX2,-,chrX,100910267,100914876
ARMCX3,+,chrX,100877787,100882833
ARMCX3-AS1,-,chrX,100877973,100879154
ARMCX4,+,chrX,100673275,100788446
ARMCX5,+,chrX,101854096,101859087
ARMCX6,-,chrX,100870110,100872991
